2019-02-07 16:03:12,758 - INFO - rig - apache-jmeter-2.10
2019-02-07 16:13:02,979 - INFO - fastread - 354, 1970
2019-02-07 16:13:02,979 - INFO - fastread - 354, 1980
2019-02-07 16:13:02,989 - INFO - fastread - 354, 1990
2019-02-07 16:13:02,989 - INFO - fastread - 354, 2000
2019-02-07 16:13:02,999 - INFO - fastread - 354, 2010
2019-02-07 16:13:03,007 - INFO - fastread - 354, 2020
2019-02-07 16:13:03,009 - INFO - fastread - 354, 2030
2019-02-07 16:13:03,019 - INFO - fastread - 354, 2040
2019-02-07 16:13:03,029 - INFO - fastread - 354, 2050
2019-02-07 16:13:03,029 - INFO - fastread - 354, 2060
2019-02-07 16:13:03,039 - INFO - fastread - 354, 2070
2019-02-07 16:13:03,039 - INFO - fastread - 355, 2080
2019-02-07 16:13:03,049 - INFO - fastread - 355, 2090
2019-02-07 16:13:03,049 - INFO - fastread - 356, 2100
2019-02-07 16:13:03,060 - INFO - fastread - IGNORE apache-jmeter-2.10 | Total: 8057 | Percent Checked: 0.26 | Total Yes Data: 374 | Percent Yes Checked: 0.95
