apache-ant-1.7.0
prec_read,perc_found,total_read,total_found
79.0,82.63,1170.0,195.0
80.0,83.05,1180.0,196.0
81.0,83.9,1200.0,198.0
82.0,85.17,1210.0,201.0
83.0,85.17,1230.0,201.0
84.0,85.17,1240.0,201.0
85.0,87.71,1260.0,207.0
86.0,88.14,1270.0,208.0
87.0,88.56,1290.0,209.0
88.0,88.56,1300.0,209.0
89.0,89.83,1320.0,212.0
90.0,90.25,1330.0,213.0
91.0,91.53,1350.0,216.0
92.0,92.37,1360.0,218.0
93.0,93.22,1380.0,220.0
94.0,94.49,1390.0,223.0
95.0,95.34,1410.0,225.0


jEdit-4.2
prec_read,perc_found,total_read,total_found
1.0,14.06,30.0,18.0
2.0,14.84,80.0,19.0
3.0,14.84,130.0,19.0
4.0,15.62,190.0,20.0
5.0,16.41,240.0,21.0
6.0,17.19,290.0,22.0
7.0,17.19,340.0,22.0
8.0,17.97,390.0,23.0
9.0,19.53,440.0,25.0
10.0,19.53,500.0,25.0
11.0,20.31,550.0,26.0
12.0,23.44,600.0,30.0
13.0,23.44,650.0,30.0
14.0,25.0,700.0,32.0
15.0,25.0,750.0,32.0
16.0,25.78,800.0,33.0
17.0,27.34,860.0,35.0
18.0,28.12,910.0,36.0
19.0,28.91,960.0,37.0
20.0,30.47,1010.0,39.0
21.0,30.47,1060.0,39.0
22.0,32.81,1110.0,42.0
23.0,33.59,1170.0,43.0
24.0,35.16,1220.0,45.0
25.0,35.94,1270.0,46.0
26.0,37.5,1320.0,48.0
27.0,39.84,1370.0,51.0
28.0,40.62,1420.0,52.0
29.0,42.97,1480.0,55.0
30.0,43.75,1530.0,56.0
31.0,45.31,1580.0,58.0
32.0,45.31,1630.0,58.0
33.0,45.31,1680.0,58.0
34.0,46.09,1730.0,59.0
35.0,47.66,1790.0,61.0
36.0,48.44,1840.0,62.0
37.0,49.22,1890.0,63.0
38.0,49.22,1940.0,63.0
39.0,51.56,1990.0,66.0
40.0,52.34,2040.0,67.0
41.0,53.12,2100.0,68.0
42.0,53.12,2150.0,68.0
43.0,53.12,2200.0,68.0
44.0,53.91,2250.0,69.0
45.0,53.91,2300.0,69.0
46.0,53.91,2350.0,69.0
47.0,54.69,2400.0,70.0
