2019-02-07 14:52:31,466 - INFO - fastread - 198, 1033  220
2019-02-07 14:52:34,247 - INFO - fastread - 198, 1065  228
2019-02-07 14:52:37,236 - INFO - fastread - 198, 1097  227
2019-02-07 14:52:39,995 - INFO - fastread - 199, 1129  224
2019-02-07 14:52:42,642 - INFO - fastread - 199, 1161  227
2019-02-07 14:52:45,327 - INFO - fastread - 199, 1193  226
2019-02-07 14:52:47,995 - INFO - fastread - 199, 1225  224
2019-02-07 14:52:50,693 - INFO - fastread - 199, 1257  225
2019-02-07 14:52:57,354 - INFO - fastread - 199, 1352  223
2019-02-07 14:53:04,045 - INFO - fastread - 199, 1445  223
2019-02-07 14:53:10,764 - INFO - fastread - 199, 1535  221
2019-02-07 14:53:13,502 - INFO - fastread - 199, 1567  222
2019-02-07 14:53:13,502 - INFO - fastread - IGNORE columba-1.4-src NO IMPROVEMENT after 3 random loops. EXITING. Current estimate: 234
2019-02-07 14:53:13,512 - INFO - fastread - IGNORE columba-1.4-src | Total: 6468 | Percent Checked: 0.24 | Total Yes Data: 204 | Percent Yes Checked: 0.98
2019-02-07 14:53:13,512 - INFO - rig - ++++NEW CLF++++ QUICKREAD
2019-02-07 14:53:13,512 - INFO - quickread - Total Yes: 204 | Total No: 6264
2019-02-07 14:53:13,750 - INFO - quickread - 0, 0  475
2019-02-07 14:53:15,715 - INFO - quickread - 31, 32  475
2019-02-07 14:53:18,223 - INFO - quickread - 55, 64  185
2019-02-07 14:53:20,806 - INFO - quickread - 80, 96  257
2019-02-07 14:53:23,131 - INFO - quickread - 112, 128  249
2019-02-07 14:53:25,423 - INFO - quickread - 131, 160  239
2019-02-07 14:53:27,790 - INFO - quickread - 157, 192  241
2019-02-07 14:53:30,212 - INFO - quickread - 175, 224  277
2019-02-07 14:53:32,602 - INFO - quickread - 183, 256  305
2019-02-07 14:53:34,975 - INFO - quickread - 191, 288  304
2019-02-07 14:53:37,326 - INFO - quickread - 193, 320  310
2019-02-07 14:53:39,626 - INFO - quickread - 194, 352  293
2019-02-07 14:53:41,852 - INFO - quickread - 196, 384  280
2019-02-07 14:53:44,091 - INFO - quickread - 197, 416  272
2019-02-07 14:53:46,305 - INFO - quickread - 197, 448  264
2019-02-07 14:53:48,460 - INFO - quickread - 198, 480  253
2019-02-07 14:53:50,686 - INFO - quickread - 198, 512  250
2019-02-07 14:53:52,833 - INFO - quickread - 198, 544  244
2019-02-07 14:53:54,904 - INFO - quickread - 199, 576  238
