2019-02-07 15:05:31,561 - INFO - rig - ++++NEW CLF++++ SGD
2019-02-07 15:05:31,561 - INFO - fastread - Total Yes: 256 | Total No: 10066
2019-02-07 15:05:31,641 - INFO - fastread - 9, 10
2019-02-07 15:05:31,642 - INFO - fastread - 18, 20
2019-02-07 15:05:31,642 - INFO - fastread - 27, 30
2019-02-07 15:05:31,642 - INFO - fastread - 31, 40
2019-02-07 15:05:31,652 - INFO - fastread - 37, 50
2019-02-07 15:05:31,652 - INFO - fastread - 44, 60
2019-02-07 15:05:31,652 - INFO - fastread - 52, 70
2019-02-07 15:05:31,652 - INFO - fastread - 58, 80
2019-02-07 15:05:31,662 - INFO - fastread - 61, 90
2019-02-07 15:05:31,662 - INFO - fastread - 69, 100
2019-02-07 15:05:31,670 - INFO - fastread - 77, 110
2019-02-07 15:05:31,672 - INFO - fastread - 82, 120
2019-02-07 15:05:31,672 - INFO - fastread - 89, 130
2019-02-07 15:05:31,682 - INFO - fastread - 96, 140
2019-02-07 15:05:31,682 - INFO - fastread - 103, 150
2019-02-07 15:05:31,682 - INFO - fastread - 110, 160
2019-02-07 15:05:31,690 - INFO - fastread - 114, 170
2019-02-07 15:05:31,692 - INFO - fastread - 117, 180
2019-02-07 15:05:31,692 - INFO - fastread - 119, 190
2019-02-07 15:05:31,692 - INFO - fastread - 127, 200
2019-02-07 15:05:31,700 - INFO - fastread - 132, 210
2019-02-07 15:05:31,702 - INFO - fastread - 136, 220
2019-02-07 15:05:31,702 - INFO - fastread - 138, 230
2019-02-07 15:05:31,712 - INFO - fastread - 140, 240
2019-02-07 15:05:31,712 - INFO - fastread - 144, 250
2019-02-07 15:05:31,723 - INFO - fastread - 145, 260
2019-02-07 15:05:31,723 - INFO - fastread - 147, 270
2019-02-07 15:05:31,731 - INFO - fastread - 150, 280
2019-02-07 15:05:31,733 - INFO - fastread - 152, 290
2019-02-07 15:05:31,733 - INFO - fastread - 158, 300
2019-02-07 15:05:31,743 - INFO - fastread - 164, 310
2019-02-07 15:05:31,743 - INFO - fastread - 169, 320
2019-02-07 15:05:31,751 - INFO - fastread - 173, 330
2019-02-07 15:05:31,753 - INFO - fastread - 175, 340
2019-02-07 15:05:31,761 - INFO - fastread - 175, 350
2019-02-07 15:05:31,763 - INFO - fastread - 177, 360
2019-02-07 15:05:31,763 - INFO - fastread - 181, 370
2019-02-07 15:05:31,773 - INFO - fastread - 181, 380
2019-02-07 15:05:31,773 - INFO - fastread - 184, 390
2019-02-07 15:05:31,781 - INFO - fastread - 190, 400
2019-02-07 15:05:31,783 - INFO - fastread - 191, 410
2019-02-07 15:05:31,783 - INFO - fastread - 191, 420
2019-02-07 15:05:31,783 - INFO - fastread - 191, 430
2019-02-07 15:05:31,793 - INFO - fastread - 192, 440
2019-02-07 15:05:31,793 - INFO - fastread - 194, 450
2019-02-07 15:05:31,793 - INFO - fastread - 197, 460
2019-02-07 15:05:31,801 - INFO - fastread - 200, 470
2019-02-07 15:05:31,803 - INFO - fastread - 201, 480
2019-02-07 15:05:31,803 - INFO - fastread - 201, 490
2019-02-07 15:05:31,813 - INFO - fastread - 201, 500
2019-02-07 15:05:31,813 - INFO - fastread - 201, 510
2019-02-07 15:05:31,821 - INFO - fastread - 201, 520
2019-02-07 15:05:31,823 - INFO - fastread - 201, 530
2019-02-07 15:05:31,823 - INFO - fastread - 201, 540
2019-02-07 15:05:31,833 - INFO - fastread - 203, 550
2019-02-07 15:05:31,833 - INFO - fastread - 203, 560
2019-02-07 15:05:31,833 - INFO - fastread - 205, 570
2019-02-07 15:05:31,842 - INFO - fastread - 207, 580
2019-02-07 15:05:31,844 - INFO - fastread - 209, 590
2019-02-07 15:05:31,844 - INFO - fastread - 210, 600
2019-02-07 15:05:31,844 - INFO - fastread - 211, 610
2019-02-07 15:05:31,852 - INFO - fastread - 212, 620
2019-02-07 15:05:31,854 - INFO - fastread - 213, 630
2019-02-07 15:05:31,854 - INFO - fastread - 215, 640
2019-02-07 15:05:31,854 - INFO - fastread - 217, 650
2019-02-07 15:05:31,862 - INFO - fastread - 217, 660
2019-02-07 15:05:31,864 - INFO - fastread - 217, 670
